"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2012","2,556.00","2,502.00","2,617.00","2,490.50","","2.20%"
"04/01/2012","2,501.00","2,494.00","2,504.50","2,473.50","","0.52%"
"03/01/2012","2,488.00","2,453.00","2,507.50","2,456.00","","1.43%"
"02/01/2012","2,453.00","2,444.00","2,499.50","2,415.00","","0.33%"
"01/01/2012","2,445.00","2,467.00","2,508.00","2,416.50","","-0.85%"
"12/01/2011","2,466.00","2,479.00","2,502.00","2,448.50","","-0.52%"
"11/01/2011","2,479.00","2,409.00","2,513.50","2,410.00","","2.91%"
"10/01/2011","2,409.00","2,390.00","2,443.50","2,392.50","","0.79%"
"09/01/2011","2,390.00","2,322.00","2,481.50","2,323.00","","2.93%"
"08/01/2011","2,322.00","2,313.00","2,338.00","2,302.50","","0.39%"
"07/01/2011","2,313.00","2,334.00","2,335.50","2,310.00","","-0.90%"
"06/01/2011","2,334.00","2,323.00","2,349.00","2,315.00","","0.47%"
"05/01/2011","2,323.00","2,325.00","2,343.50","2,321.50","","-0.34%"
"04/01/2011","2,331.00","2,368.00","2,371.50","2,331.00","","-1.65%"
"03/01/2011","2,370.00","2,400.00","2,407.50","2,369.00","","-1.29%"
"02/01/2011","2,401.00","2,462.00","2,463.50","2,396.50","","-2.48%"
"01/01/2011","2,462.00","2,445.00","2,475.50","2,438.50","","0.41%"
"12/01/2010","2,452.00","2,458.00","2,466.50","2,443.00","","-0.24%"
"11/01/2010","2,458.00","2,430.00","2,462.50","2,419.00","","1.03%"
"10/01/2010","2,433.00","2,428.00","2,440.00","2,424.00","","0.21%"
"09/01/2010","2,428.00","2,458.00","2,466.00","2,427.00","","-1.22%"
"08/01/2010","2,458.00","2,434.00","2,469.00","2,417.00","","0.99%"
"07/01/2010","2,434.00","2,470.00","2,479.00","2,432.00","","-1.32%"
"06/01/2010","2,466.50","2,504.00","2,532.50","2,449.00","","-1.26%"
"05/01/2010","2,498.00","2,457.00","2,556.00","2,453.00","","1.79%"
"04/01/2010","2,454.00","2,473.00","2,490.00","2,423.00","","-0.85%"
"03/01/2010","2,475.00","2,482.00","2,492.00","2,450.00","","-2.61%"
"02/01/2010","2,541.45","2,545.60","2,566.02","2,523.96","","-0.16%"
"01/01/2010","2,545.60","2,570.29","2,581.92","2,485.84","","-0.96%"
