"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2014","1,976.15","1,982.97","2,001.05","1,953.93","","-0.40%"
"09/01/2014","1,984.04","1,906.13","1,992.69","1,904.15","","4.32%"
"08/01/2014","1,901.95","1,875.20","1,923.04","1,874.54","","1.45%"
"07/01/2014","1,874.71","1,909.31","1,933.85","1,851.85","","-1.81%"
"06/01/2014","1,909.25","1,876.63","1,946.46","1,875.19","","2.23%"
"05/01/2014","1,867.59","1,844.44","1,868.63","1,817.33","","1.15%"
"04/01/2014","1,846.44","1,813.52","1,868.14","1,811.10","","1.11%"
"03/01/2014","1,826.15","1,890.14","1,899.06","1,822.42","","-3.29%"
"02/01/2014","1,888.27","2,019.48","2,022.79","1,883.23","","-6.21%"
"01/01/2014","2,013.40","2,019.34","2,034.30","1,986.07","","0.24%"
"12/01/2013","2,008.52","1,962.03","2,027.69","1,919.86","","2.39%"
"11/01/2013","1,961.70","1,854.95","1,973.80","1,852.49","","6.13%"
"10/01/2013","1,848.33","1,899.05","1,899.05","1,795.86","","-2.18%"
"09/01/2013","1,889.60","1,784.37","1,908.83","1,783.79","","5.99%"
"08/01/2013","1,782.77","1,677.30","1,789.92","1,676.39","","6.40%"
"07/01/2013","1,675.53","1,617.90","1,678.18","1,617.48","","3.67%"
"06/01/2013","1,616.21","1,599.09","1,627.69","1,594.08","","1.28%"
"05/01/2013","1,595.76","1,577.45","1,602.30","1,576.68","","1.22%"
"04/01/2013","1,576.57","1,565.02","1,578.60","1,561.16","","0.79%"
"03/01/2013","1,564.16","1,554.23","1,576.46","1,553.80","","0.74%"
"02/01/2013","1,552.68","1,559.39","1,571.49","1,540.71","","-0.35%"
"01/01/2013","1,558.13","1,550.48","1,574.84","1,545.80","","0.81%"
"12/01/2012","1,545.62","1,540.38","1,562.68","1,539.65","","0.38%"
"11/01/2012","1,539.77","1,543.15","1,548.19","1,537.15","","0.04%"
"10/01/2012","1,539.13","1,522.80","1,544.36","1,522.80","","1.13%"
"09/01/2012","1,521.90","1,502.00","1,524.63","1,495.77","","1.38%"
"08/01/2012","1,501.12","1,484.61","1,508.74","1,482.58","","1.18%"
"07/01/2012","1,483.58","1,487.33","1,495.98","1,465.86","","0.45%"
"06/01/2012","1,476.95","1,467.31","1,493.63","1,459.48","","0.18%"
"05/01/2012","1,474.26","1,456.52","1,511.99","1,447.99","","1.25%"
"04/01/2012","1,456.01","1,453.40","1,460.62","1,439.23","","0.35%"
"03/01/2012","1,450.98","1,431.48","1,459.81","1,431.53","","1.36%"
"02/01/2012","1,431.48","1,423.41","1,456.85","1,407.79","","0.59%"
"01/01/2012","1,423.14","1,439.35","1,461.55","1,401.17","","-1.13%"
"12/01/2011","1,439.47","1,421.74","1,455.86","1,411.28","","0.86%"
"11/01/2011","1,427.23","1,392.71","1,451.31","1,392.97","","2.50%"
"10/01/2011","1,392.45","1,377.15","1,413.65","1,372.22","","1.29%"
"09/01/2011","1,374.77","1,337.10","1,426.35","1,335.99","","2.85%"
"08/01/2011","1,336.68","1,319.71","1,344.10","1,313.43","","1.30%"
"07/01/2011","1,319.51","1,326.27","1,326.92","1,316.49","","-0.49%"
"06/01/2011","1,326.06","1,316.97","1,333.99","1,312.27","","0.71%"
"05/01/2011","1,316.67","1,319.31","1,325.59","1,312.23","","-0.18%"
"04/01/2011","1,319.01","1,329.31","1,332.56","1,317.09","","-0.77%"
"03/01/2011","1,329.23","1,342.16","1,345.43","1,326.30","","-0.93%"
"02/01/2011","1,341.77","1,370.05","1,377.22","1,338.60","","-1.95%"
"01/01/2011","1,368.45","1,366.36","1,378.97","1,356.24","","0.16%"
"12/01/2010","1,366.22","1,354.28","1,367.18","1,350.38","","0.88%"
"11/01/2010","1,354.26","1,339.48","1,356.73","1,330.96","","1.11%"
"10/01/2010","1,339.42","1,333.23","1,353.33","1,333.03","","0.50%"
"09/01/2010","1,332.74","1,326.38","1,350.70","1,320.29","","0.48%"
"08/01/2010","1,326.34","1,318.92","1,334.07","1,317.31","","0.56%"
"07/01/2010","1,318.92","1,335.25","1,342.56","1,319.23","","-1.22%"
"06/01/2010","1,335.17","1,343.00","1,337.99","1,324.16","","-0.58%"
"05/01/2010","1,343.02","1,320.05","1,373.11","1,319.88","","1.74%"
"04/01/2010","1,320.01","1,330.90","1,339.12","1,303.60","","-0.88%"
"03/01/2010","1,331.69","1,366.04","1,373.26","1,318.52","","-2.62%"
"02/01/2010","1,367.55","1,368.81","1,432.28","1,345.97","","-0.15%"
"01/01/2010","1,369.59","1,379.49","1,384.95","1,328.37","","-0.79%"
"12/01/2009","1,380.55","1,383.05","1,394.38","1,373.61","","-0.30%"
"11/01/2009","1,384.74","1,397.21","1,416.39","1,362.02","","-1.00%"
"10/01/2009","1,398.76","1,406.18","1,421.67","1,355.19","","-1.00%"
"09/01/2009","1,412.88","1,474.92","1,489.63","1,400.08","","-4.26%"
"08/01/2009","1,475.76","1,452.10","1,489.44","1,439.42","","1.59%"
"07/01/2009","1,452.72","1,492.80","1,501.39","1,447.89","","-2.79%"
"06/01/2009","1,494.40","1,505.79","1,533.21","1,448.77","","-0.83%"
"05/01/2009","1,506.97","1,551.55","1,564.11","1,497.66","","-2.93%"
"04/01/2009","1,552.39","1,687.76","1,699.86","1,545.74","","-8.19%"
"03/01/2009","1,690.96","1,750.48","1,778.59","1,659.86","","-3.46%"
"02/01/2009","1,751.57","1,660.82","1,758.57","1,660.48","","5.20%"
"01/01/2009","1,664.96","1,604.75","1,664.96","1,536.32","","4.22%"
"12/01/2008","1,597.53","1,748.87","1,801.89","1,566.14","","-9.32%"
"11/01/2008","1,761.67","1,579.76","1,854.28","1,556.74","","10.54%"
"10/01/2008","1,593.68","1,376.45","1,745.91","1,375.81","","15.68%"
"09/01/2008","1,377.63","1,337.28","1,387.92","1,337.28","","3.11%"
"08/01/2008","1,336.02","1,330.58","1,347.19","1,321.61","","0.35%"
"07/01/2008","1,331.33","1,344.18","1,346.58","1,328.35","","-1.03%"
"06/01/2008","1,345.12","1,341.31","1,352.62","1,338.13","","0.25%"
"05/01/2008","1,341.74","1,319.74","1,353.38","1,316.88","","1.68%"
"04/01/2008","1,319.60","1,311.89","1,322.80","1,304.19","","0.53%"
